Coord_center_el.x 	 Coord_center_el.y 	 vectorElement[i].P 	 vectorElement[i].P_Correction 	 vectorElement[i].U_x 	 vectorElement[i].U_x_Correction 	 vectorElement[i].U_y 	 vectorElement[i].U_y_Correction 	 
0.0031587166 	 -0.2728410753 	 0.1244159899 	 0.4905900022 	 0.1315770139 	 0.0000752612 	 0.0012716678 	 -0.0000374602 	 
-0.8491637210 	 0.4179423442 	 0.2041758450 	 -0.5836126825 	 -0.4160023099 	 -0.0005585710 	 -0.8447747652 	 0.0004067528 	 
-0.2625589853 	 -0.1341534281 	 0.0769867249 	 0.2939977709 	 0.0753975162 	 0.0002091185 	 -0.1477410049 	 0.0000873791 	 
0.4780495522 	 -0.7923486275 	 0.2044349545 	 -0.5046897771 	 0.7868943472 	 0.0002962496 	 0.4746496034 	 -0.0005936821 	 
-0.6939153185 	 -0.6138836966 	 0.1833621409 	 -0.5929729853 	 0.6096257578 	 -0.0005545779 	 -0.6893518548 	 -0.0005541303 	 
0.4694836108 	 -0.8213267422 	 0.2097942744 	 -0.5596290764 	 0.8171336550 	 0.0001757328 	 0.4670725173 	 -0.0005782108 	 
0.5484980756 	 0.7150380470 	 0.1902683711 	 -0.4743800429 	 -0.7080827859 	 0.0003571493 	 0.5434495205 	 0.0005750983 	 
-0.1347490476 	 -0.9301868169 	 0.1934267935 	 -0.6021637413 	 0.9248907555 	 -0.0001116277 	 -0.1341642798 	 -0.0005914145 	 
0.5981351402 	 0.7220119030 	 0.1973773781 	 -0.5777825972 	 -0.7177051562 	 0.0004423412 	 0.5947130996 	 0.0004976813 	 
-0.0120853624 	 -0.8760135753 	 0.1846615934 	 -0.4096083443 	 0.8649566231 	 0.0000309329 	 -0.0119689749 	 -0.0005221427 	 
-0.0630151866 	 0.2434149433 	 0.1057380585 	 0.4201473535 	 -0.0935625303 	 -0.0004205994 	 -0.0245999102 	 -0.0002352272 	 
-0.0311430387 	 0.9388576255 	 0.1928951552 	 -0.6023493428 	 -0.9334904811 	 0.0000121489 	 -0.0307883185 	 0.0005675607 	 
0.5996965564 	 -0.7006593344 	 0.1992376771 	 -0.5140674302 	 0.6958818536 	 0.0005349925 	 0.5952877104 	 -0.0004100146 	 
0.6814681584 	 -0.7095712749 	 0.2094903060 	 -0.7057410885 	 0.7083772755 	 0.0001144125 	 0.6806344036 	 -0.0000748876 	 
-0.0466182939 	 0.2649353188 	 0.1381851337 	 0.5466051240 	 -0.1234882290 	 -0.0001307040 	 -0.0218213328 	 -0.0000870188 	 
-0.2329044903 	 -0.1023821269 	 0.0664076440 	 0.2623670802 	 0.0412758606 	 0.0000720195 	 -0.0933360857 	 -0.0007211342 	 
0.2891050616 	 -0.8950899175 	 0.2041971391 	 -0.5617784127 	 0.8900145029 	 0.0000986976 	 0.2872935343 	 -0.0007509126 	 
0.1549002677 	 0.2746874685 	 0.1425234821 	 0.5473107170 	 -0.1710234590 	 0.0000387151 	 0.0965999992 	 0.0001266583 	 
0.0913438278 	 -0.9795425276 	 0.2055345208 	 -0.7214784937 	 0.9781193382 	 0.0000492526 	 0.0914468045 	 -0.0001234877 	 
0.9311782497 	 0.2442734243 	 0.1868898938 	 -0.7142689262 	 -0.2435069866 	 0.0006495511 	 0.9283315308 	 0.0002427691 	 
0.9161247151 	 0.2974483794 	 0.1923413903 	 -0.6944451060 	 -0.2962728021 	 0.0007589625 	 0.9130199562 	 0.0000192455 	 
0.9801815957 	 -0.0770487474 	 0.1875879494 	 -0.7909617108 	 0.0766865075 	 0.0001486649 	 0.9787011881 	 0.0000257651 	 
0.1705733079 	 0.2483368612 	 0.1377748145 	 0.5346366503 	 -0.1447706258 	 -0.0000444788 	 0.0995442833 	 0.0003360023 	 
-0.1559507066 	 0.2634491418 	 0.1100601078 	 0.4217176599 	 -0.1571584024 	 -0.0000415095 	 -0.0935446682 	 -0.0002907738 	 
-0.8446094691 	 -0.4091283782 	 0.1934687663 	 -0.5967475417 	 0.4066568093 	 -0.0006497791 	 -0.8399887535 	 -0.0004765872 	 
0.0190294657 	 -0.8725923227 	 0.1841808946 	 -0.4002923147 	 0.8612093308 	 -0.0000278661 	 0.0187338669 	 -0.0005311394 	 
-0.8522433776 	 -0.3533968972 	 0.1891446438 	 -0.5557180438 	 0.3508148733 	 -0.0006237035 	 -0.8458485495 	 -0.0001343211 	 
0.0630261887 	 -0.9653933942 	 0.1995181175 	 -0.6820317919 	 0.9627793870 	 0.0000559336 	 0.0627812373 	 -0.0006623850 	 
-0.9822207699 	 -0.0518582964 	 0.1971851934 	 -0.7540773632 	 0.0519917630 	 -0.0001573933 	 -0.9807195141 	 -0.0000405193 	 
-0.4946372432 	 0.7819107970 	 0.1819016421 	 -0.5942368675 	 -0.7764250650 	 -0.0002207066 	 -0.4909786377 	 0.0005448872 	 
0.2793216948 	 0.1450348982 	 0.1471582423 	 0.5661526012 	 -0.0899141746 	 0.0003715874 	 0.1731085045 	 -0.0003522454 	 
0.2539068148 	 0.1568484681 	 0.1504766905 	 0.5865786703 	 -0.0898150131 	 0.0004251065 	 0.1453036407 	 -0.0000637622 	 
-0.4904664971 	 0.8110513820 	 0.1900662332 	 -0.6452151916 	 -0.8072008268 	 -0.0002742529 	 -0.4879680415 	 0.0005554851 	 
0.1371258090 	 -0.2196538976 	 0.1534873325 	 0.6099070257 	 0.0926620570 	 0.0003971909 	 0.0574556504 	 -0.0001915445 	 
0.1860566464 	 -0.1775597911 	 0.1467743786 	 0.5833690823 	 0.0734531671 	 0.0005967630 	 0.0769784803 	 0.0001434331 	 
-0.1093253383 	 0.2298150411 	 0.1123606552 	 0.4461663232 	 -0.0913328923 	 -0.0000431724 	 -0.0432778922 	 -0.0000745777 	 
-0.2366825241 	 0.0929960516 	 0.0859616115 	 0.3406018350 	 -0.0368239218 	 -0.0000828978 	 -0.0942425426 	 -0.0002097193 	 
0.2490180294 	 -0.0591574392 	 0.0614661947 	 0.2423484668 	 0.0238372128 	 -0.0003204616 	 0.1013400130 	 0.0004805202 	 
-0.2541175994 	 -0.0389019310 	 0.0966815348 	 0.3830164798 	 0.0160818968 	 -0.0000576362 	 -0.1050965114 	 -0.0006194038 	 
0.1312962066 	 0.2183209131 	 0.1414544983 	 0.5624984764 	 -0.0873884368 	 -0.0002008693 	 0.0523723856 	 0.0001068490 	 
-0.8880766296 	 -0.2530305297 	 0.1861334509 	 -0.5707124487 	 0.2511982205 	 -0.0005537213 	 -0.8817691283 	 -0.0001507264 	 
0.6023710277 	 -0.7294767689 	 0.2105060610 	 -0.5567714986 	 0.7258818295 	 0.0002910727 	 0.5993638366 	 -0.0003219177 	 
0.3339234831 	 -0.8603300614 	 0.2033493080 	 -0.4998150572 	 0.8541395577 	 0.0002513353 	 0.3314778902 	 -0.0005606223 	 
0.8646369308 	 0.3103275137 	 0.1890999182 	 -0.5414993012 	 -0.3077419269 	 0.0006087772 	 0.8580544043 	 0.0001295935 	 
-0.0549650197 	 0.9229896947 	 0.1890800698 	 -0.5633158259 	 -0.9164250072 	 0.0000276194 	 -0.0544530043 	 0.0005920780 	 
-0.5955335789 	 -0.7648726764 	 0.1911055482 	 -0.7231083654 	 0.7627652304 	 -0.0004704525 	 -0.5941187927 	 -0.0005397628 	 
0.4137662517 	 0.8247505766 	 0.1933399693 	 -0.5393464782 	 -0.8187985944 	 0.0002735380 	 0.4109701655 	 0.0005208168 	 
-0.5546565043 	 -0.7942999725 	 0.1863314347 	 -0.7399487152 	 0.7922376566 	 -0.0002689826 	 -0.5533258189 	 -0.0005253414 	 
0.1844087036 	 0.1489792924 	 0.1588020223 	 0.6340635987 	 -0.0446133822 	 0.0000284457 	 0.0562715784 	 0.0009128811 	 
-0.8453640568 	 0.3648594208 	 0.1993274761 	 -0.5081973707 	 -0.3621647926 	 -0.0004972776 	 -0.8390554531 	 0.0002088513 	 
-0.9178914875 	 0.0006873337 	 0.1814608471 	 -0.5693481645 	 -0.0008893284 	 -0.0006734887 	 -0.9108841252 	 0.0000100751 	 
0.0297061271 	 0.2342266754 	 0.1411264754 	 0.5634421426 	 -0.0695045853 	 -0.0006426155 	 0.0096151754 	 0.0007862232 	 
0.3206950826 	 0.8647320116 	 0.1925218551 	 -0.5410239880 	 -0.8584551708 	 0.0001996407 	 0.3185828584 	 0.0005649811 	 
-0.9271340828 	 -0.0777428453 	 0.1813880982 	 -0.6151761359 	 0.0771420298 	 -0.0007179423 	 -0.9211058415 	 -0.0001381707 	 
-0.1061062175 	 -0.9182351877 	 0.1901057100 	 -0.5581943763 	 0.9116499960 	 -0.0001740847 	 -0.1055916953 	 -0.0007744708 	 
0.8833475586 	 -0.2798952696 	 0.1782507534 	 -0.6139562910 	 0.2782119633 	 0.0006253638 	 0.8772470853 	 -0.0001507245 	 
-0.2612786576 	 -0.1851965937 	 0.0845152353 	 0.3128102934 	 0.1178336977 	 0.0001680349 	 -0.1658682411 	 0.0001143747 	 
-0.9012434012 	 -0.2797624937 	 0.1927696618 	 -0.6188456054 	 0.2782890004 	 -0.0005860498 	 -0.8965656756 	 -0.0001752481 	 
-0.5862225152 	 -0.7112525961 	 0.1826373153 	 -0.5784540852 	 0.7059866922 	 -0.0004340838 	 -0.5822254491 	 -0.0005906611 	 
0.0245525331 	 -0.2525670046 	 0.1004231737 	 0.3985339949 	 0.0994565293 	 -0.0000167181 	 0.0099242638 	 0.0001429661 	 
-0.2578361381 	 0.0698269568 	 0.0883320451 	 0.3476230571 	 -0.0315005168 	 0.0002785530 	 -0.1181008634 	 0.0001821258 	 
0.9555819509 	 -0.1489126651 	 0.1775226095 	 -0.7687314882 	 0.1485581436 	 0.0005723164 	 0.9528407118 	 -0.0001195735 	 
-0.2579718608 	 -0.0909703175 	 0.0927694103 	 0.3638294171 	 0.0441734875 	 -0.0000427792 	 -0.1251227884 	 -0.0002166689 	 
0.9450554498 	 -0.1993998766 	 0.1777752209 	 -0.7629060105 	 0.1988801539 	 0.0006221068 	 0.9423402752 	 -0.0001306362 	 
0.3672220729 	 0.8450407559 	 0.1926783548 	 -0.5371250280 	 -0.8388661535 	 0.0002118356 	 0.3646871130 	 0.0005115077 	 
0.4431665271 	 0.8296540348 	 0.1972425080 	 -0.5895073005 	 -0.8249136005 	 0.0004054362 	 0.4407747895 	 0.0005210502 	 
-0.8817783923 	 -0.3018914097 	 0.1901125193 	 -0.5863008170 	 0.2999557774 	 -0.0005049570 	 -0.8762392626 	 -0.0001209539 	 
0.1150398879 	 0.2424213315 	 0.1452475918 	 0.5750109952 	 -0.1118965950 	 0.0004981243 	 0.0534381618 	 0.0001930823 	 
0.3499564779 	 0.8711710494 	 0.1985110341 	 -0.5778784221 	 -0.8662763781 	 0.0002127028 	 0.3479683358 	 0.0006165117 	 
0.3970022789 	 0.8516111856 	 0.1996534946 	 -0.5761642888 	 -0.8468789096 	 0.0002631994 	 0.3947586636 	 0.0005920251 	 
-0.6929399019 	 0.6223050934 	 0.1977557821 	 -0.5532746978 	 -0.6185557457 	 -0.0004244328 	 -0.6884336815 	 0.0003940105 	 
-0.5749134598 	 -0.7414258490 	 0.1875241421 	 -0.6195108011 	 0.7372127037 	 -0.0004564950 	 -0.5715513572 	 -0.0005231896 	 
-0.2724083276 	 0.0137563944 	 0.0889712652 	 0.3488374259 	 -0.0069169688 	 -0.0001092031 	 -0.1309838914 	 0.0002391106 	 
-0.4785574416 	 -0.0272318709 	 0.1225813006 	 0.3103275321 	 0.0234378114 	 -0.0001359668 	 -0.4116792427 	 -0.0000254623 	 
0.0454223057 	 0.2081786309 	 0.2095535013 	 0.8381551536 	 -0.0279471735 	 -0.0001413473 	 0.0073658588 	 0.0008890815 	 
-0.0711189736 	 -0.1993966860 	 0.1619356792 	 0.6477001502 	 0.0243629406 	 0.0000524457 	 -0.0097586295 	 -0.0008213891 	 
0.1761162689 	 0.1197772852 	 0.2266356933 	 0.9064850812 	 -0.0149977500 	 0.0006584822 	 0.0243640645 	 0.0006096310 	 
0.1645508297 	 -0.1577477967 	 0.1659493258 	 0.6632773931 	 0.0385467795 	 0.0003635789 	 0.0392954468 	 -0.0003510123 	 
0.1203764017 	 -0.1924108195 	 0.1577895791 	 0.6306885475 	 0.0452470851 	 -0.0001027127 	 0.0281097734 	 -0.0003213887 	 
-0.2084770795 	 0.0825432093 	 0.0949306865 	 0.3793759497 	 -0.0180945988 	 -0.0002370577 	 -0.0449524856 	 -0.0000132130 	 
-0.2220301926 	 0.0286008562 	 0.0859423938 	 0.3434371639 	 -0.0057643556 	 0.0001633509 	 -0.0472380344 	 0.0000479351 	 
-0.0962652284 	 0.2024347452 	 0.0988181299 	 0.3949283699 	 -0.0431851964 	 0.0000793902 	 -0.0209896773 	 -0.0002543769 	 
-0.0466516290 	 0.2192665519 	 0.1218091828 	 0.4868919155 	 -0.0469779855 	 0.0000936939 	 -0.0099151530 	 -0.0001417416 	 
0.2151310258 	 0.0546494218 	 0.1159416586 	 0.4635041989 	 -0.0109526029 	 0.0002657562 	 0.0418230002 	 -0.0009441948 	 
0.2225058869 	 0.0023333604 	 0.0575181840 	 0.2297909688 	 0.0002321290 	 0.0002741149 	 0.0446249448 	 -0.0006143764 	 
0.2205107875 	 -0.0532849944 	 0.0435181678 	 0.1736080997 	 0.0118272913 	 -0.0005376205 	 0.0517500260 	 0.0002178055 	 
-0.2093338934 	 -0.0845673541 	 0.0912626523 	 0.3646372600 	 0.0189274989 	 0.0000013932 	 -0.0481348953 	 -0.0005760008 	 
-0.2233106564 	 -0.0288294654 	 0.1051767668 	 0.4203206869 	 0.0064453599 	 0.0000204090 	 -0.0499347297 	 -0.0000473179 	 
0.0678416204 	 -0.2137643086 	 0.1239891201 	 0.4956077236 	 0.0454387688 	 -0.0005988802 	 0.0149627408 	 -0.0000667775 	 
0.0177475843 	 -0.2253919985 	 0.1136526422 	 0.4541825677 	 0.0510873459 	 -0.0002645530 	 0.0036097374 	 -0.0001026138 	 
0.1197764245 	 0.1919149732 	 0.1517511816 	 0.6065704151 	 -0.0435364708 	 0.0003222822 	 0.0273408318 	 -0.0001573693 	 
-0.1430830396 	 0.1730527048 	 0.1003751817 	 0.4011407370 	 -0.0378189495 	 0.0000626896 	 -0.0311949613 	 -0.0000027239 	 
-0.1812007782 	 0.1321184164 	 0.0995057345 	 0.3976749689 	 -0.0285491946 	 0.0000170917 	 -0.0393124267 	 -0.0000460813 	 
