Coord_center_el.x 	 Coord_center_el.y 	 vectorElement[i].P 	 vectorElement[i].P_Correction 	 vectorElement[i].U_x 	 vectorElement[i].U_x_Correction 	 vectorElement[i].U_y 	 vectorElement[i].U_y_Correction 	 
0.3374530364 	 0.2945181766 	 5.0651363273 	 0.5056707334 	 0.2574200111 	 0.0000016627 	 -0.2893548691 	 0.0000009825 	 
0.4457258941 	 0.2288181884 	 5.0312994877 	 0.5056657164 	 0.2063786254 	 0.0000006491 	 -0.4008155263 	 -0.0000000621 	 
0.3069913379 	 -0.4149937947 	 5.0503637751 	 0.5056128279 	 -0.3765426098 	 0.0000005236 	 -0.2786750715 	 -0.0000003623 	 
0.1506750028 	 -0.2727650901 	 5.2448424957 	 0.5057316712 	 -0.1843905122 	 0.0000013276 	 -0.1014758945 	 0.0000010612 	 
-0.4192625091 	 -0.1200615232 	 5.1215103886 	 0.5056422575 	 -0.1075521056 	 -0.0000014904 	 0.3569099014 	 -0.0000001910 	 
0.2387823353 	 -0.2058753590 	 4.8464065495 	 0.5055237275 	 -0.1433484057 	 0.0000005014 	 -0.1608453484 	 0.0000007948 	 
0.3757685887 	 -0.5293861696 	 4.9579854074 	 0.5055673746 	 -0.5051745112 	 0.0000005590 	 -0.3599160845 	 -0.0000008947 	 
-0.4885959291 	 -0.0353306104 	 5.0397468592 	 0.5056078714 	 -0.0335915011 	 -0.0000014418 	 0.4383813370 	 0.0000004128 	 
0.3811629359 	 -0.1325560445 	 5.0335774265 	 0.5056113078 	 -0.1069807983 	 0.0000019791 	 -0.3174137767 	 -0.0000002206 	 
-0.6136148721 	 0.6782422633 	 4.7381359314 	 0.5054988132 	 0.6733180055 	 0.0000000385 	 0.6085454564 	 0.0000000429 	 
-0.5500345313 	 0.3194260491 	 4.9652072472 	 0.5055607378 	 0.3042434064 	 -0.0000008439 	 0.5239593280 	 -0.0000000320 	 
-0.2511381970 	 0.1736939905 	 5.2616754273 	 0.5057079721 	 0.1142447318 	 -0.0000008335 	 0.1691139531 	 -0.0000014746 	 
-0.3138174474 	 0.0780239297 	 4.8304103643 	 0.5054845363 	 0.0567525008 	 -0.0000004388 	 0.2205316432 	 -0.0000013404 	 
0.2898380554 	 -0.6389909490 	 4.9169920488 	 0.5055559030 	 -0.6162032252 	 -0.0000002160 	 -0.2799006189 	 -0.0000008901 	 
-0.1635354452 	 0.5918241422 	 4.9353610578 	 0.5055920689 	 0.5588425646 	 -0.0000008506 	 0.1540433027 	 0.0000001422 	 
0.1403430269 	 0.2835347693 	 4.8792753755 	 0.5056231929 	 0.1959730506 	 -0.0000013494 	 -0.0966194037 	 0.0000006516 	 
0.2386989239 	 0.2252456359 	 5.2581825483 	 0.5058139613 	 0.1614429717 	 -0.0000007352 	 -0.1693553056 	 0.0000006743 	 
0.4915231275 	 -0.0991056569 	 5.0929867553 	 0.5055996120 	 -0.0875014097 	 0.0000002935 	 -0.4423913209 	 0.0000002762 	 
0.2994898687 	 0.8617127266 	 4.7501031048 	 0.5055813690 	 0.8538045604 	 0.0000004614 	 -0.2971560347 	 -0.0000000322 	 
-0.5140878493 	 0.4496836782 	 4.9259092051 	 0.5055793642 	 0.4320131298 	 -0.0000003121 	 0.4937766569 	 0.0000006775 	 
-0.6371685853 	 0.5295483168 	 4.8089591394 	 0.5055013052 	 0.5227443119 	 -0.0000008119 	 0.6282842038 	 0.0000007673 	 
-0.1615549735 	 -0.6022308252 	 4.9836615530 	 0.5055282687 	 -0.5703125415 	 0.0000008535 	 0.1531315193 	 -0.0000006517 	 
-0.6093014366 	 0.0938659648 	 4.9544310370 	 0.5055361481 	 0.0905071693 	 -0.0000001313 	 0.5778226566 	 -0.0000002112 	 
-0.4752074853 	 0.7052693622 	 4.7865311509 	 0.5054961958 	 0.6966509545 	 -0.0000005308 	 0.4689898452 	 0.0000000287 	 
-0.4387494125 	 0.2469997058 	 5.0547865816 	 0.5055980468 	 0.2231380507 	 -0.0000003920 	 0.3952733320 	 -0.0000000919 	 
-0.6081450100 	 -0.0257342433 	 4.9483737777 	 0.5055298043 	 -0.0236494749 	 -0.0000011893 	 0.5748320272 	 -0.0000001685 	 
0.5730263668 	 -0.2009731268 	 4.9413228523 	 0.5055970820 	 -0.1884214292 	 0.0000007715 	 -0.5405410011 	 0.0000000555 	 
0.3839126396 	 0.7336066699 	 4.8283097498 	 0.5055730584 	 0.7227460649 	 0.0000002652 	 -0.3791330513 	 0.0000004825 	 
0.8328396490 	 -0.3690663669 	 4.7491211636 	 0.5055217786 	 -0.3663854781 	 -0.0000001499 	 -0.8252155499 	 -0.0000006037 	 
-0.9106146335 	 0.0070652461 	 4.7434830912 	 0.5055016686 	 0.0078751350 	 -0.0000000621 	 0.9032576362 	 0.0000007047 	 
0.9059081505 	 0.1211124004 	 4.7298058537 	 0.5055592672 	 0.1193594983 	 -0.0000001272 	 -0.8990767113 	 -0.0000002580 	 
-0.7824549868 	 -0.4722402755 	 4.7455768200 	 0.5055468559 	 -0.4682801809 	 -0.0000000298 	 0.7765692593 	 0.0000002452 	 
-0.7800698885 	 0.4739117714 	 4.7430702754 	 0.5055062200 	 0.4704203321 	 0.0000000564 	 0.7734861911 	 -0.0000000003 	 
-0.6424287433 	 -0.5298018328 	 4.8145369372 	 0.5055489746 	 -0.5226352600 	 -0.0000000442 	 0.6339870988 	 -0.0000003216 	 
0.5345312445 	 0.7422416606 	 4.7598629379 	 0.5055782073 	 0.7363519111 	 -0.0000000880 	 -0.5305487153 	 0.0000000423 	 
0.5230800440 	 -0.7508515670 	 4.7504144271 	 0.5055126570 	 -0.7449939243 	 -0.0000001972 	 -0.5189904224 	 -0.0000001927 	 
0.8014079529 	 0.2291484321 	 4.7980246683 	 0.5055574865 	 0.2254207790 	 0.0000001462 	 -0.7918028250 	 -0.0000002091 	 
-0.1799167407 	 0.8951137661 	 4.7519776191 	 0.5055473691 	 0.8879047667 	 0.0000001150 	 0.1779472550 	 0.0000000774 	 
-0.1785705229 	 -0.8955833336 	 4.7391355139 	 0.5055072142 	 -0.8881920848 	 -0.0000001282 	 0.1774847724 	 -0.0000001069 	 
0.3752322356 	 -0.7525394734 	 4.8140460715 	 0.5055023828 	 -0.7432637148 	 0.0000001745 	 -0.3703304933 	 -0.0000007857 	 
