Coord_center_el.x 	 Coord_center_el.y 	 vectorElement[i].P 	 vectorElement[i].P_Correction 	 vectorElement[i].U_x 	 vectorElement[i].U_x_Correction 	 vectorElement[i].U_y 	 vectorElement[i].U_y_Correction 	 
0.3900850904 	 0.2420505577 	 0.2272394714 	 0.2350645271 	 -0.2071655462 	 -0.0014540300 	 0.3294824507 	 0.0007924359 	 
0.6603328521 	 -0.0918247638 	 -0.0327879595 	 -0.1990087211 	 0.0843466554 	 0.0047144454 	 0.6178471887 	 -0.0039779362 	 
-0.2553322761 	 0.3831565872 	 0.0476441301 	 -0.0479619569 	 -0.3227519954 	 -0.0016864010 	 -0.2158237927 	 0.0026522796 	 
-0.4859920142 	 0.1336426119 	 0.1192487741 	 0.0219608189 	 -0.1212721953 	 -0.0033938456 	 -0.4216801593 	 0.0002791000 	 
-0.2521170060 	 -0.3814421754 	 0.2152636206 	 0.2083850109 	 0.3208334452 	 0.0010072369 	 -0.2136559916 	 0.0004559017 	 
0.7968978313 	 -0.2692822955 	 0.0529221478 	 -0.2262245720 	 0.2538270464 	 0.0007941527 	 0.7853819105 	 0.0002559819 	 
0.0447052381 	 -0.4610745488 	 0.0622489380 	 -0.0247287764 	 0.3897824449 	 0.0002897133 	 0.0374174810 	 -0.0027946697 	 
0.0462355926 	 0.4602996216 	 0.2141862247 	 0.1939717581 	 -0.3899036490 	 -0.0007065635 	 0.0392148223 	 -0.0005434624 	 
0.4909913182 	 0.1206902466 	 0.0797891564 	 0.0184265485 	 -0.1071015151 	 0.0024662396 	 0.4275268269 	 -0.0017056757 	 
-0.5663582713 	 0.0022600882 	 0.1327044574 	 0.0247435526 	 -0.0034852378 	 -0.0027161378 	 -0.5145623818 	 0.0004157287 	 
0.6574717443 	 0.0976304062 	 0.1277507490 	 0.0212584035 	 -0.0954138174 	 0.0026908524 	 0.6224126267 	 0.0004883233 	 
0.1762014526 	 -0.4349121923 	 0.2008911227 	 0.1713191376 	 0.3698361792 	 0.0001238738 	 0.1490779760 	 0.0009346230 	 
0.1779187848 	 0.4348492916 	 0.0808963768 	 -0.0037596305 	 -0.3689748952 	 0.0012896260 	 0.1503238869 	 0.0027178969 	 
-0.3623055482 	 0.3053133770 	 0.1997920675 	 0.1675595806 	 -0.2577224304 	 0.0009539973 	 -0.3099898000 	 -0.0002529880 	 
-0.3526688597 	 0.0982070032 	 0.2608661100 	 0.2879469360 	 -0.0703341628 	 0.0001554038 	 -0.2546157304 	 0.0031506350 	 
-0.2865789170 	 0.2061414693 	 -0.0056058299 	 -0.0583913663 	 -0.1439014440 	 0.0009606625 	 -0.2081189013 	 0.0017409136 	 
0.4600797703 	 0.3871406670 	 0.0999968989 	 -0.0576296235 	 -0.3564014097 	 0.0043280942 	 0.4280660357 	 0.0028943656 	 
-0.3516271562 	 -0.2984882985 	 0.0823900814 	 0.0018937563 	 0.2486614305 	 -0.0022424673 	 -0.2968567317 	 -0.0011706372 	 
0.3953702210 	 0.0079508815 	 0.1684587099 	 0.1306404836 	 -0.0060442733 	 0.0008712411 	 0.3160184669 	 0.0022377375 	 
0.2436018901 	 -0.1956460314 	 0.3325177843 	 0.3465605725 	 0.1261082848 	 -0.0008201046 	 0.1536968166 	 -0.0015772782 	 
0.2478791993 	 0.2032697614 	 -0.0215545151 	 -0.0979955984 	 -0.1335649441 	 0.0021456688 	 0.1607672045 	 -0.0005074931 	 
0.1643480446 	 -0.3062319582 	 0.0160861016 	 -0.0950754006 	 0.2120261765 	 -0.0023403264 	 0.1177165171 	 -0.0017753624 	 
0.1643480446 	 0.3062319582 	 0.2974669870 	 0.3408243635 	 -0.2126685522 	 0.0029194461 	 0.1169140277 	 -0.0007105720 	 
-0.8192169737 	 -0.2167397574 	 0.0088578792 	 -0.2537126103 	 0.2149088394 	 -0.0023373152 	 -0.8044109428 	 -0.0004668560 	 
-0.2211915886 	 0.8351292285 	 0.0005602379 	 -0.2494831496 	 -0.8238855048 	 -0.0010294699 	 -0.2182310887 	 0.0023367308 	 
-0.2211297917 	 -0.8346520069 	 -0.0031819293 	 -0.2557521632 	 0.8234033804 	 -0.0003123682 	 -0.2185615511 	 -0.0026555409 	 
-0.3450210149 	 -0.0940605272 	 0.0596974112 	 -0.0231400722 	 0.0655246442 	 -0.0023830784 	 -0.2458301280 	 0.0025376345 	 
-0.2811335416 	 -0.2013714755 	 0.3183626065 	 0.3093959864 	 0.1393860728 	 -0.0018325542 	 -0.2009237377 	 0.0007637406 	 
0.6059513049 	 0.6166942420 	 0.0042083107 	 -0.2756487616 	 -0.6083833622 	 0.0018847318 	 0.5982628023 	 0.0020547196 	 
0.5867669652 	 -0.6293803559 	 0.0049732687 	 -0.2622712832 	 0.6191154514 	 0.0020444081 	 0.5805816747 	 -0.0012262736 	 
-0.1381238973 	 -0.3081514823 	 -0.0092945654 	 -0.1075649753 	 0.2111640046 	 -0.0024151034 	 -0.0944700903 	 0.0010659823 	 
-0.1393236715 	 0.3103247973 	 0.3023233628 	 0.3545128714 	 -0.2140635813 	 0.0018129588 	 -0.0950234816 	 0.0025478347 	 
-0.0121329523 	 -0.3419563897 	 0.3082794236 	 0.3331007807 	 0.2360349529 	 -0.0031288593 	 -0.0120790823 	 -0.0010150063 	 
-0.0121329523 	 0.3419563897 	 -0.0064542965 	 -0.0846444188 	 -0.2371227451 	 0.0030372223 	 -0.0120415139 	 0.0002622303 	 
-0.4766533821 	 -0.1233673405 	 0.1347983784 	 0.0640037976 	 0.1142434476 	 0.0008741308 	 -0.4095102196 	 0.0013183677 	 
